
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
ADD       37-174445 O US NC ELON COLLEGE     36 18 19.37N 079 27 16.01W TOWER              1 00315 01065 D 4 D N 2024ASO04125OE A2025275 
ADD       37-174446 O US NC BLADENBORO       34 32 58.91N 078 48 30.00W TANK               1 00164 00302 N 2 C N 2025ASO11396OE A2025263 
ADD       37-174450 O US NC GIBSON           34 45 49.20N 079 36 34.09W TOWER              1 00264 00516 D 4 D N 2025ASO05839OE A2025263 
ADD       37-174471 O US NC LOUISBURG        35 58 29.41N 078 20 38.39W TOWER              1 00294 00673 D 1 A N 2022ASO43425OE A2025263 
ADD       37-174473 U US NC SMITHFIELD       35 34 36.50N 078 21 31.70W TOWER              1 00194 00413 N 4 D N 2025ASO13616OE A2025277 
ADD       37-174475 U US NC HUDSON           35 50 40.59N 081 33 48.19W TOWER              1 00199 01449 N 4 D N 2024ASO13791OE A2025247 
ADD       37-174476 U US NC GREENVILLE       35 39 37.33N 077 20 40.18W BLDG               1 00045 00082 U 4 D U 2025ASO08377OE A2025247 
ADD       37-174477 O US NC OLIN             35 57 06.68N 080 50 27.55W TOWER              1 00355 01260 D 4 D N 2024ASO22291OE A2025263 
ADD       37-174478 U US NC GOLDSBORO        35 21 15.57N 077 58 09.94W TOWER              1 00094 00199 N 4 D N 2025ASO01136OE A2025263 
ADD       37-174479 U US NC GOLDSBORO        35 22 09.62N 077 54 55.26W T-L TWR            1 00075 00188 U 4 D U 2025ASO11642OE A2025252 
ADD       37-174480 U US NC GOLDSBORO        35 22 14.80N 077 54 57.96W T-L TWR            1 00075 00188 U 4 D U 2025ASO11643OE A2025252 
ADD       37-174481 U US NC GOLDSBORO        35 22 19.90N 077 55 00.64W T-L TWR            1 00053 00166 U 4 D U 2025ASO11644OE A2025252 
ADD       37-174482 U US NC LEXINGTON        35 47 11.85N 080 17 29.44W POLE               1 00031 00741 N 4 D N 2024ASO03417OE A2025255 
ADD       37-174483 U US NC LEXINGTON        35 47 11.09N 080 17 28.09W POLE               1 00031 00739 N 4 D N 2024ASO03418OE A2025255 
ADD       37-174484 U US NC LEXINGTON        35 47 10.11N 080 17 26.99W POLE               1 00031 00739 N 4 D N 2024ASO03419OE A2025255 
ADD       37-174485 U US NC LEXINGTON        35 47 07.74N 080 17 20.71W POLE               1 00033 00741 N 4 D N 2024ASO03420OE A2025255 
ADD       37-174486 U US NC LEXINGTON        35 47 08.90N 080 17 19.85W POLE               1 00031 00740 N 4 D N 2024ASO03421OE A2025255 
ADD       37-174487 U US NC LEXINGTON        35 47 09.79N 080 17 18.63W POLE               1 00032 00742 N 4 D N 2024ASO03422OE A2025255 
ADD       37-174488 U US NC LEXINGTON        35 47 10.58N 080 17 17.54W POLE               1 00032 00743 N 4 D N 2024ASO03423OE A2025255 
ADD       37-174489 U US NC LEXINGTON        35 47 15.89N 080 17 10.43W POLE               1 00030 00740 N 4 D N 2024ASO03424OE A2025255 
ADD       37-174490 U US NC LEXINGTON        35 47 16.55N 080 17 09.53W POLE               1 00036 00746 N 4 D N 2024ASO03425OE A2025255 
ADD       37-174491 U US NC LEXINGTON        35 47 17.21N 080 17 08.62W POLE               1 00034 00745 N 4 D N 2024ASO03426OE A2025255 
ADD       37-174492 U US NC LEXINGTON        35 46 43.40N 080 17 11.63W T-L TWR            1 00115 00858 N 4 D N 2025ASO06761OE A2025268 
ADD       37-174493 U US NC MAIDEN           35 32 54.36N 081 06 26.88W TOWER              1 00130 01180 N 4 D N 2025ASO15535OE A2025268 
ADD       37-174494 U US NC CONCORD          35 21 53.00N 080 39 55.70W BLDG               1 00030 00664 U 4 D U 2024ASO20440OE A2025266 
ADD       37-174495 O US NC ELKIN            36 15 16.09N 080 49 14.02W TOWER              1 00199 01169 N 2 C N 2025ASO00507OE A2025268 
ADD       37-174497 O US NC TRADE            35 38 32.43N 079 43 34.18W TOWER              1 00324 00838 D 4 D N 2024ASO17152OE A2025274 
ADD       37-174501 O US NC BUNN             35 57 10.63N 078 15 12.28W TOWER              1 00350 00612 D 4 D N 2024ASO21879OE A2025296 
ADD       37-174503 U US NC CHARLOTTE        35 11 24.43N 080 57 28.56W UTILITY POLE       1 00040 00775 N 4 D N 2024ASO07168OE A2025293 
ADD       37-174504 U US NC CHARLOTTE        35 11 24.20N 080 57 26.63W UTILITY POLE       1 00040 00775 N 4 D N 2024ASO07169OE A2025293 
ADD       37-174505 U US NC CHARLOTTE        35 11 25.71N 080 57 25.99W UTILITY POLE       1 00040 00775 N 4 D N 2024ASO07170OE A2025293 
ADD       37-174506 U US NC CHARLOTTE        35 11 26.27N 080 57 27.58W UTILITY POLE       1 00040 00773 N 4 D N 2024ASO07171OE A2025293 
OLD       38-000427 O US ND DICKINSON        46 55 15.00N 102 43 44.00W TOWER              1 00350 03107 D 4 D N 2022AGL06060OE C2023025 
NEW       38-000427 O US ND DICKINSON        46 55 15.39N 102 43 43.96W TOWER              1 00345 03102 D 4 D N 2024AGL09252OE C2025262 
OLD       38-000452 O US ND DEVILS LAKE      47 59 17.44N 098 55 57.34W TOWER              1 00217 01920 R 1 A P 2015AGL05253OE C2015292 
NEW       38-000452 O US ND SAINT MICHAEL    47 59 17.44N 098 55 57.34W TOWER              1 00217 01920 R 1 A P 2024AGL11254OE C2025263 
OLD       38-000492 O US ND BISMARCK         46 50 59.64N 100 46 12.72W TOWER              1 00262 02092 M 3 C N 2014AGL01203OE C2018058 
NEW       38-000492 O US ND BISMARCK         46 50 59.64N 100 46 12.72W TOWER              1 00262 02092 M 3 C N 2024AGL07586OE C2025263 
OLD       38-000583 O US ND OLGA             48 46 48.00N 098 02 17.00W TOWER              1 00320 01881 M 5 D N 1989AGL00982OE C2014152 
NEW       38-000583 O US ND OLGA             48 46 48.85N 098 02 19.80W TOWER              1 00320 01880 M 4 D N 2024AGL10113OE C2025263 
OLD       38-000608 O US ND LARIMORE         47 56 19.70N 097 33 27.50W TOWER              1 00417 01476 D 4 D N 2017AGL14648OE C2017313 
NEW       38-000608 O US ND LARIMORE         47 56 19.70N 097 33 27.50W TOWER              1 00397 01456 D 4 D N 2024AGL09520OE C2025263 
OLD       38-000610 O US ND CASSELTON        46 54 22.91N 097 16 59.32W TOWER              1 00325 01280 D 5 D N 2015AGL09884OE C2015314 
NEW       38-000610 O US ND CASSELTON        46 54 22.90N 097 16 59.32W TOWER              1 00324 01279 D 4 D N 2025AGL01769OE C2025263 
OLD       38-000890 O US ND THOMPSON         47 47 42.93N 097 05 17.29W TOWER              1 00200 01055 N 2 C N 2008AGL03248OE C2008191 
NEW       38-000890 O US ND THOMPSON         47 47 42.93N 097 05 17.29W TOWER              1 00200 01055 N 2 C N 2025AGL00989OE C2025263 
OLD       38-020141 O US ND NEKOMA           48 41 48.34N 098 14 29.60W WINDMILL           1 00389 02031 W 4 D W 2007AGL04586OE C2021257 
NEW       38-020141 O US ND NEKOMA           48 41 48.34N 098 14 29.60W WINDMILL           1 00422 02064 W 4 D W 2022WTE06203OE C2025263 
OLD       38-020142 O US ND NEKOMA           48 41 48.37N 098 14 57.97W WINDMILL           1 00389 02037 N 4 D W 2007AGL04585OE C2021257 
NEW       38-020142 O US ND NEKOMA           48 41 48.37N 098 14 57.97W WINDMILL           1 00422 02070 N 4 D W 2022WTE06202OE C2025263 
OLD       38-020143 O US ND NEKOMA           48 41 48.60N 098 15 29.62W WINDMILL           1 00389 02047 W 4 D W 2007AGL04584OE C2021257 
NEW       38-020143 O US ND NEKOMA           48 41 48.60N 098 15 29.62W WINDMILL           1 00422 02080 W 4 D W 2022WTE06201OE C2025263 
OLD       38-020155 O US ND NEKOMA           48 41 47.39N 098 13 58.20W WINDMILL           1 00389 02036 W 4 D W 2007AGL04587OE C2021257 
NEW       38-020155 O US ND NEKOMA           48 41 47.39N 098 13 58.20W WINDMILL           1 00422 02069 W 4 D W 2022WTE06204OE C2025262 
OLD       38-020173 U US ND NEKOMA           48 42 48.84N 098 12 40.10W WINDMILL           1 00389 02024 W 4 D W 2007AGL04578OE C2014124 
NEW       38-020173 O US ND NEKOMA           48 42 48.84N 098 12 40.10W WINDMILL           1 00422 02057 W 4 D W 2022WTE06195OE C2025263 
OLD       38-020174 U US ND NEKOMA           48 42 48.18N 098 12 55.32W WINDMILL           1 00389 02037 N 4 D W 2007AGL04577OE C2014124 
NEW       38-020174 O US ND NEKOMA           48 42 48.18N 098 12 55.32W WINDMILL           1 00422 02070 N 4 D W 2022WTE06194OE C2025263 
OLD       38-020175 U US ND NEKOMA           48 42 55.02N 098 13 29.33W WINDMILL           1 00389 02045 W 4 D W 2007AGL04576OE C2014124 
NEW       38-020175 O US ND NEKOMA           48 42 55.02N 098 13 29.33W WINDMILL           1 00422 02078 W 4 D W 2022WTE06193OE C2025263 
OLD       38-020176 U US ND NEKOMA           48 42 51.39N 098 13 39.91W WINDMILL           1 00389 02047 N 4 D W 2007AGL04575OE C2014124 
NEW       38-020176 O US ND NEKOMA           48 42 51.39N 098 13 39.91W WINDMILL           1 00422 02080 N 4 D W 2022WTE06192OE C2025262 
OLD       38-020177 U US ND NEKOMA           48 42 50.82N 098 13 55.38W WINDMILL           1 00389 02039 N 4 D W 2007AGL04574OE C2014124 
NEW       38-020177 O US ND NEKOMA           48 42 50.82N 098 13 55.38W WINDMILL           1 00422 02072 N 4 D W 2022WTE06191OE C2025263 
OLD       38-020178 U US ND NEKOMA           48 42 54.18N 098 14 19.51W WINDMILL           1 00389 02034 N 4 D W 2007AGL04573OE C2014124 
NEW       38-020178 O US ND NEKOMA           48 42 54.18N 098 14 19.51W WINDMILL           1 00422 02067 N 4 D W 2022WTE06190OE C2025276 
OLD       38-020182 U US ND NEKOMA           48 43 40.07N 098 15 43.74W WINDMILL           1 00389 02024 W 4 D W 2007AGL04569OE C2014124 
NEW       38-020182 O US ND NEKOMA           48 43 40.07N 098 15 43.74W WINDMILL           1 00422 02057 W 4 D W 2022WTE06186OE C2025276 
OLD       38-020183 U US ND NEKOMA           48 43 51.15N 098 15 33.82W WINDMILL           1 00389 02025 N 4 D W 2007AGL04568OE C2014124 
NEW       38-020183 O US ND NEKOMA           48 43 51.15N 098 15 33.82W WINDMILL           1 00422 02058 N 4 D W 2022WTE06185OE C2025262 
OLD       38-020184 U US ND NEKOMA           48 44 13.10N 098 15 31.29W WINDMILL           1 00389 02038 N 4 D W 2007AGL04567OE C2014124 
NEW       38-020184 O US ND NEKOMA           48 44 13.10N 098 15 31.29W WINDMILL           1 00422 02071 N 4 D W 2022WTE06184OE C2025263 
OLD       38-020185 U US ND NEKOMA           48 44 41.96N 098 14 29.14W WINDMILL           1 00389 02018 W 4 D W 2007AGL04566OE C2014124 
NEW       38-020185 O US ND NEKOMA           48 44 41.96N 098 14 29.14W WINDMILL           1 00422 02051 W 4 D W 2022WTE06183OE C2025263 
OLD       38-020186 U US ND NEKOMA           48 44 41.82N 098 15 02.05W WINDMILL           1 00389 02022 N 4 D W 2007AGL04565OE C2014124 
NEW       38-020186 O US ND NEKOMA           48 44 41.82N 098 15 02.05W WINDMILL           1 00422 02055 N 4 D W 2022WTE06182OE C2025263 
OLD       38-020189 U US ND NEKOMA           48 44 38.74N 098 15 30.70W WINDMILL           1 00389 02039 W 4 D W 2007AGL04564OE C2014124 
NEW       38-020189 O US ND NEKOMA           48 44 38.74N 098 15 30.70W WINDMILL           1 00422 02039 W 4 D W 2022WTE06181OE C2025263 
OLD       38-020205 O US ND RYDER            47 58 12.75N 101 40 41.57W TOWER              1 00257 02379 D 2 C N 2008AGL01557OE C2013079 
NEW       38-020205 O US ND RYDER            47 58 12.75N 101 40 41.57W TOWER              1 00261 02383 D 2 C N 2024AGL17234OE C2025263 
OLD       38-020206 O US ND MCVILLE          47 47 15.60N 098 15 47.00W TOWER              1 00297 01793 D 2 C N 2008AGL01832OE C2013093 
NEW       38-020206 O US ND MCVILLE          47 47 15.60N 098 15 47.00W TOWER              1 00301 01797 D 2 C N 2024AGL09047OE C2025263 
OLD       38-020503 O US ND CARPIO           48 27 35.44N 101 42 40.37W TOWER              1 00257 02109 D 2 C N 2008AGL07302OE C2013073 
NEW       38-020503 O US ND CARPIO           48 27 35.44N 101 42 40.37W TOWER              1 00261 02112 D 2 C N 2024AGL10299OE C2025263 
OLD       38-020736 O US ND POWERS LAKE      48 33 42.20N 102 36 10.34W TOWER              1 00266 02588 D 2 C N 2010AGL02246OE A2010351 
NEW       38-020736 O US ND POWERS LAKE      48 33 42.20N 102 36 10.34W TOWER              1 00265 02587 D 2 C N 2024AGL10309OE C2025263 
OLD       38-020797 O US ND WOODWORTH        47 09 10.60N 099 18 18.60W TOWER              1 00267 02335 D 2 C N 2009AGL05788OE A2011054 
NEW       38-020797 O US ND WOODWORTH        47 09 10.60N 099 18 18.60W TOWER              1 00269 02337 D 2 C N 2024AGL09224OE C2025263 
OLD       38-021015 O US ND TURTLE LAKE      47 31 24.51N 100 54 22.57W TOWER              1 00170 02067 R 1 A P 2011AGL08248OE A2012018 
NEW       38-021015 O US ND TURTLE LAKE      47 31 24.51N 100 54 22.57W TOWER              1 00170 02067 D 1 A N 2024AGL16460OE C2025263 
OLD       38-021059 O US ND STANTON          47 17 02.06N 101 21 21.17W TOWER              1 00199 01965 N 1 A N 2012AGL07797OE C2013053 
NEW       38-021059 O US ND STANTON          47 17 02.06N 101 21 21.17W TOWER              1 00199 01965 N 1 A N 2024AGL14611OE C2025263 
OLD       38-022332 O US ND GRAND FORKS      47 56 15.43N 097 05 31.87W TOWER              1 00161 00992 N 1 A N 2023AGL03707OE C2024185 
NEW       38-022332 O US ND GRAND FORKS      47 56 15.43N 097 05 31.87W TOWER              1 00161 00992 N 1 A N 2024AGL16003OE C2025263 
OLD       38-022877 O US ND MADDOCK          48 05 55.22N 099 30 54.32W TOWER              1 00410 02043 D 1 A N 2014AGL12384OE A2014321 
NEW       38-022877 O US ND MADDOCK          48 05 55.22N 099 30 54.32W TOWER              1 00407 02040 D 1 A N 2025AGL01015OE C2025263 
OLD       38-022880 O US ND ARNEGARD         47 38 47.43N 103 30 35.58W TOWER              1 00334 02611 D 1 A N 2014AGL13424OE A2015007 
NEW       38-022880 O US ND ARNEGARD         47 38 47.43N 103 30 35.58W TOWER              1 00330 02607 D 1 A N 2024AGL16488OE C2025263 
OLD       38-022883 O US ND RUGBY            48 02 21.72N 099 56 22.32W TOWER              1 00415 02020 D 1 A N 2013AGL09295OE A2015007 
NEW       38-022883 O US ND RUGBY            48 02 21.72N 099 56 22.32W TOWER              1 00409 02014 D 1 A N 2025AGL01019OE C2025263 
OLD       38-023095 O US ND DICKINSON        46 49 59.76N 102 47 27.37W TOWER              1 00149 02664 N 5 D N 2014AGL10296OE A2015280 
NEW       38-023095 O US ND DICKINSON        46 49 59.76N 102 47 27.37W TOWER              1 00149 02664 N 4 D N 2024AGL08708OE C2025263 
OLD       38-023127 O US ND KILLDEER         47 32 10.90N 102 50 32.44W TOWER              1 00404 02929 D 1 A N 2014AGL06686OE A2015299 
NEW       38-023127 O US ND KILLDEER         47 32 10.90N 102 50 32.44W TOWER              1 00403 02928 D 1 A N 2024AGL05469OE C2025262 
OLD       38-023316 O US ND KILLDEER         47 24 29.12N 102 47 21.79W T-L TWR            1 00115 02370 N 5 E N 2012AGL11094OE A2016069 
NEW       38-023316 O US ND KILLDEER         47 24 29.12N 102 47 21.79W T-L TWR            1 00115 02370 N 4 D N 2012AGL11094OE C2025269 
OLD       38-023317 O US ND KILLDEER         47 24 29.11N 102 47 08.12W T-L TWR            1 00110 02376 N 5 E N 2012AGL11095OE A2016069 
NEW       38-023317 O US ND KILLDEER         47 24 29.11N 102 47 08.12W T-L TWR            1 00110 02376 N 4 D N 2012AGL11095OE C2025269 
OLD       38-023319 O US ND KILLDEER         47 24 29.11N 102 46 54.75W T-L TWR            1 00115 02405 N 5 E N 2012AGL11096OE A2016067 
NEW       38-023319 O US ND KILLDEER         47 24 29.11N 102 46 54.75W T-L TWR            1 00115 02405 N 4 D N 2012AGL11096OE C2025269 
OLD       38-023320 O US ND KILLDEER         47 24 29.10N 102 46 43.99W T-L TWR            1 00105 02447 N 5 E N 2012AGL11097OE A2016066 
NEW       38-023320 O US ND KILLDEER         47 24 29.10N 102 46 43.99W T-L TWR            1 00105 02447 N 4 D N 2012AGL11097OE C2025269 
OLD       38-036301 O US ND MINOT            48 12 13.18N 101 18 27.75W TOWER              1 00127 01875 N 2 C N 2022AGL19201OE C2023088 
NEW       38-036301 O US ND MINOT            48 12 13.18N 101 18 27.75W TOWER              1 00127 01875 N 2 C N 2024AGL12615OE C2025263 
OLD       38-039848 O US ND WEST FARGO       46 52 23.79N 096 55 08.92W TOWER              1 00162 01060 N 1 A N 2021AGL25826OE A2021363 
NEW       38-039848 O US ND WEST FARGO       46 52 23.79N 096 55 08.92W TOWER              1 00162 01060 N 1 A N 2024AGL16566OE C2025263 
OLD       38-041235 O US ND BISMARK          46 48 21.08N 100 45 47.05W TOWER              1 00104 01796 N 1 A N 2022AGL16596OE A2024115 
NEW       38-041235 O US ND BISMARK          46 48 21.08N 100 45 47.05W TOWER              1 00104 01796 N 1 A N 2024AGL16462OE C2025263 
OLD       38-042073 U US ND WASHBURN         47 18 04.15N 101 00 55.56W TOWER              1 00180 02075 N 4 D N 2023AGL20527OE A2024192 
NEW       38-042073 U US ND WASHBURN         47 18 04.15N 101 00 55.56W TOWER              1 00182 02077 N 4 D N 2024AGL17633OE C2025263 
ADD       38-043062 U US ND CASSELTON        46 53 40.19N 097 13 55.81W STACK              1 00065 01003 N 4 D N 2022AGL25358OE A2025263 
OLD       38-043093 U US ND CENTER           47 09 50.22N 101 36 07.82W WINDMILL           1 00599 02768 W 4 D W 2022WTE00973OE A2025199 
NEW       38-043093 O US ND CENTER           47 09 50.22N 101 36 07.82W WINDMILL           1 00502 02672 W 4 D W 2022WTE00973OE C2025263 
OLD       38-043094 U US ND CENTER           47 08 38.78N 101 35 29.46W WINDMILL           1 00599 02787 W 4 D W 2022WTE00976OE A2025202 
NEW       38-043094 O US ND CENTER           47 08 38.79N 101 35 29.45W WINDMILL           1 00502 02687 W 4 D W 2022WTE00976OE C2025288 
OLD       38-043095 U US ND CENTER           47 09 05.23N 101 35 26.54W WINDMILL           1 00599 02791 W 4 D W 2022WTE00977OE A2025202 
NEW       38-043095 O US ND CENTER           47 09 05.23N 101 35 26.54W WINDMILL           1 00502 02694 W 4 D W 2022WTE00977OE C2025263 
OLD       38-043096 U US ND CENTER           47 09 26.03N 101 35 30.72W WINDMILL           1 00599 02774 W 4 D W 2022WTE00978OE A2025202 
NEW       38-043096 O US ND CENTER           47 09 26.03N 101 35 30.72W WINDMILL           1 00502 02677 W 4 D W 2022WTE00978OE C2025263 
OLD       38-043097 U US ND CENTER           47 08 41.34N 101 34 43.53W WINDMILL           1 00599 02762 W 4 D W 2022WTE00983OE A2025202 
NEW       38-043097 O US ND CENTER           47 08 41.34N 101 34 43.53W WINDMILL           1 00502 02665 W 4 D W 2022WTE00983OE C2025263 
OLD       38-043098 U US ND CENTER           47 09 39.91N 101 35 18.26W WINDMILL           1 00599 02800 W 4 D W 2022WTE00979OE A2025115 
NEW       38-043098 O US ND CENTER           47 09 39.92N 101 35 18.27W WINDMILL           1 00502 02706 W 4 D W 2022WTE00979OE C2025263 
OLD       38-043100 U US ND CENTER           47 06 51.90N 101 33 33.49W WINDMILL           1 00599 02774 W 4 D W 2022WTE00987OE A2025203 
NEW       38-043100 O US ND CENTER           47 06 51.89N 101 33 33.49W WINDMILL           1 00502 02664 W 4 D W 2022WTE00987OE C2025288 
OLD       38-043101 U US ND CENTER           47 07 26.02N 101 32 20.37W WINDMILL           1 00599 02892 W 4 D W 2022WTE00990OE A2025203 
NEW       38-043101 O US ND CENTER           47 07 26.02N 101 32 20.37W WINDMILL           1 00502 02784 W 4 D W 2022WTE00990OE C2025288 
OLD       38-043102 U US ND CENTER           47 07 24.38N 101 33 31.92W WINDMILL           1 00599 02796 W 4 D W 2022WTE00988OE A2025203 
NEW       38-043102 O US ND CENTER           47 07 24.39N 101 33 31.91W WINDMILL           1 00502 02682 W 4 D W 2022WTE00988OE C2025288 
OLD       38-043103 U US ND CENTER           47 09 07.79N 101 33 37.66W WINDMILL           1 00599 02840 W 4 D W 2022WTE00992OE A2025202 
NEW       38-043103 O US ND CENTER           47 09 07.79N 101 33 37.66W WINDMILL           1 00502 02741 W 4 D W 2022WTE00992OE C2025263 
OLD       38-043104 U US ND CENTER           47 07 50.41N 101 32 54.87W WINDMILL           1 00599 02831 W 4 D W 2022WTE00991OE A2025203 
NEW       38-043104 O US ND CENTER           47 07 50.42N 101 32 54.85W WINDMILL           1 00502 02732 W 4 D W 2022WTE00991OE C2025293 
OLD       38-043105 U US ND CENTER           47 08 44.72N 101 33 24.57W WINDMILL           1 00599 02798 W 4 D W 2022WTE00993OE A2025203 
NEW       38-043105 O US ND CENTER           47 08 44.71N 101 33 24.56W WINDMILL           1 00487 02690 W 4 D W 2022WTE00993OE C2025288 
OLD       38-043106 U US ND CENTER           47 08 32.40N 101 32 48.59W WINDMILL           1 00599 02823 W 4 D W 2022WTE00994OE A2025203 
NEW       38-043106 O US ND CENTER           47 08 32.39N 101 32 48.60W WINDMILL           1 00502 02725 W 4 D W 2022WTE00994OE C2025288 
OLD       38-043113 U US ND CENTER           47 11 33.57N 101 32 54.07W WINDMILL           1 00599 02718 W 4 D W 2022WTE01003OE A2025202 
NEW       38-043113 O US ND CENTER           47 11 33.57N 101 32 54.07W WINDMILL           1 00502 02621 W 4 D W 2022WTE01003OE C2025263 
OLD       38-043114 U US ND CENTER           47 07 15.67N 101 31 20.88W WINDMILL           1 00599 02874 W 4 D W 2022WTE01010OE A2025203 
NEW       38-043114 O US ND CENTER           47 07 15.67N 101 31 20.88W WINDMILL           1 00502 02762 W 4 D W 2022WTE01010OE C2025293 
OLD       38-043115 U US ND CENTER           47 08 08.68N 101 31 21.62W WINDMILL           1 00599 02806 W 4 D W 2022WTE01011OE A2025203 
NEW       38-043115 O US ND CENTER           47 08 08.69N 101 31 21.63W WINDMILL           1 00502 02711 W 4 D W 2022WTE01011OE C2025293 
OLD       38-043116 U US ND CENTER           47 08 59.04N 101 30 50.44W WINDMILL           1 00599 02788 W 4 D W 2022WTE01012OE A2025203 
NEW       38-043116 O US ND CENTER           47 08 59.04N 101 30 50.44W WINDMILL           1 00502 02690 W 4 D W 2022WTE01012OE C2025288 
OLD       38-043117 U US ND CENTER           47 12 01.37N 101 30 52.65W WINDMILL           1 00599 02735 W 4 D W 2022WTE01017OE A2025203 
NEW       38-043117 O US ND CENTER           47 12 01.37N 101 30 52.65W WINDMILL           1 00502 02636 W 4 D W 2022WTE01017OE C2025263 
OLD       38-043118 U US ND CENTER           47 11 21.00N 101 30 13.62W WINDMILL           1 00599 02760 W 4 D W 2022WTE01019OE A2025203 
NEW       38-043118 O US ND CENTER           47 11 21.00N 101 30 13.62W WINDMILL           1 00502 02665 W 4 D W 2022WTE01019OE C2025263 
OLD       38-043119 U US ND CENTER           47 06 48.01N 101 30 23.84W WINDMILL           1 00599 02856 W 4 D W 2022WTE01021OE A2025203 
NEW       38-043119 O US ND CENTER           47 06 47.99N 101 30 23.86W WINDMILL           1 00502 02752 W 4 D W 2022WTE01021OE C2025293 
ADD       38-043120 O US ND CENTER           47 06 29.17N 101 29 45.11W WINDMILL           1 00502 02783 W 4 D W 2022WTE01020OE A2025260 
OLD       38-043121 U US ND CENTER           47 07 10.10N 101 29 33.86W WINDMILL           1 00599 02919 W 4 D W 2022WTE01023OE A2025203 
NEW       38-043121 O US ND CENTER           47 07 10.11N 101 29 33.87W WINDMILL           1 00502 02813 W 4 D W 2022WTE01023OE C2025293 
OLD       38-043122 U US ND CENTER           47 07 43.38N 101 30 12.49W WINDMILL           1 00599 02880 W 4 D W 2022WTE01024OE A2025203 
NEW       38-043122 O US ND CENTER           47 07 43.38N 101 30 12.50W WINDMILL           1 00502 02791 W 4 D W 2022WTE01024OE C2025293 
OLD       38-043123 U US ND CENTER           47 07 53.34N 101 29 48.61W WINDMILL           1 00599 02903 W 4 D W 2022WTE01025OE A2025203 
NEW       38-043123 O US ND CENTER           47 07 53.33N 101 29 48.62W WINDMILL           1 00502 02810 W 4 D W 2022WTE01025OE C2025293 
OLD       38-043126 U US ND CENTER           47 09 07.19N 101 30 00.48W WINDMILL           1 00599 02869 W 4 D W 2022WTE01028OE A2025203 
NEW       38-043126 O US ND CENTER           47 09 07.19N 101 30 00.48W WINDMILL           1 00502 02772 W 4 D W 2022WTE01028OE C2025288 
OLD       38-043127 U US ND CENTER           47 09 45.82N 101 30 10.40W WINDMILL           1 00599 02761 W 4 D W 2022WTE01029OE A2025203 
NEW       38-043127 O US ND CENTER           47 09 45.82N 101 30 10.40W WINDMILL           1 00502 02663 W 4 D W 2022WTE01029OE C2025262 
OLD       38-043128 U US ND CENTER           47 10 37.81N 101 29 52.86W WINDMILL           1 00599 02761 W 4 D W 2022WTE01031OE A2025203 
NEW       38-043128 O US ND CENTER           47 10 37.81N 101 29 52.86W WINDMILL           1 00502 02662 W 4 D W 2022WTE01031OE C2025264 
OLD       38-043129 U US ND CENTER           47 06 23.61N 101 29 08.50W WINDMILL           1 00599 02880 W 4 D W 2022WTE01037OE A2025202 
NEW       38-043129 O US ND CENTER           47 06 23.61N 101 29 08.50W WINDMILL           1 00502 02782 W 4 D W 2022WTE01037OE C2025263 
OLD       38-043130 U US ND CENTER           47 06 54.20N 101 28 56.92W WINDMILL           1 00599 02880 W 4 D W 2022WTE01038OE A2025204 
NEW       38-043130 O US ND CENTER           47 06 54.20N 101 28 56.92W WINDMILL           1 00502 02786 W 4 D W 2022WTE01038OE C2025293 
OLD       38-043132 U US ND CENTER           47 07 12.10N 101 28 50.93W WINDMILL           1 00599 02863 W 4 D W 2022WTE01039OE A2025204 
NEW       38-043132 O US ND CENTER           47 07 12.11N 101 28 50.92W WINDMILL           1 00502 02760 W 4 D W 2022WTE01039OE C2025293 
OLD       38-043133 U US ND CENTER           47 09 00.87N 101 29 11.75W WINDMILL           1 00599 02889 W 4 D W 2022WTE01041OE A2025204 
NEW       38-043133 O US ND CENTER           47 09 00.87N 101 29 11.75W WINDMILL           1 00502 02795 W 4 D W 2022WTE01041OE C2025288 
OLD       38-043134 U US ND CENTER           47 09 25.09N 101 28 19.21W WINDMILL           1 00599 02814 W 4 D W 2022WTE01042OE A2025204 
NEW       38-043134 O US ND CENTER           47 09 25.07N 101 28 19.21W WINDMILL           1 00502 02718 W 4 D W 2022WTE01042OE C2025288 
OLD       38-043135 U US ND CENTER           47 09 36.08N 101 27 58.04W WINDMILL           1 00599 02814 W 4 D W 2022WTE01043OE A2025204 
NEW       38-043135 O US ND CENTER           47 09 35.40N 101 27 58.01W WINDMILL           1 00502 02716 W 4 D W 2022WTE01043OE C2025288 
OLD       38-043136 U US ND CENTER           47 10 25.55N 101 29 02.89W WINDMILL           1 00599 02814 W 4 D W 2022WTE01045OE A2025174 
NEW       38-043136 O US ND CENTER           47 10 25.55N 101 29 02.89W WINDMILL           1 00487 02698 W 4 D W 2022WTE01045OE C2025263 
OLD       38-043137 U US ND CENTER           47 10 31.67N 101 28 24.63W WINDMILL           1 00599 02776 W 4 D W 2022WTE01046OE A2025204 
