
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       01-002561 O US AL HANCEVILLE       34 00 24.00N 086 52 18.00W TOWER              1 00262 01123 D 2 C N 2000ASO03895OE C2003187 
NEW       01-002561 O US AL HANCEVILLE       34 00 24.29N 086 52 18.23W TOWER              1 00258 01119 D 2 C N 2025ASO05858OE C2025263 
OLD       01-002601 O US AL GUNTERSVILLE     34 21 47.00N 086 23 17.00W TOWER              1 00310 01307 D 2 C N 2000ASO08801OE C2003026 
NEW       01-002601 O US AL GUNTERSVILLE     34 21 46.93N 086 23 17.47W TOWER              1 00310 01307 D 2 C N 2024ASO23251OE C2025263 
OLD       01-002611 O US AL CLANTON          32 51 45.14N 086 37 42.02W TOWER              1 00253 00853 D 2 C N 1999ASO01875OE C2020254 
NEW       01-002611 O US AL CLANTON          32 51 45.14N 086 37 42.02W TOWER              1 00250 00850 D 2 C N 2025ASO06670OE C2025263 
OLD       01-002640 O US AL SANTUCK          32 38 23.00N 086 07 38.00W TOWER              1 00305 00811 D 2 C N 2001ASO05799OE C2002237 
NEW       01-002640 O US AL WETUMPKA         32 38 22.75N 086 07 38.45W TOWER              1 00305 00811 D 2 C N 2024ASO22467OE C2025263 
OLD       01-002660 O US AL ATHENS           34 52 14.00N 086 50 44.00W TOWER              1 00270 01065 D 5 D N 2001ASO03062OE C2002272 
NEW       01-002660 O US AL ATHENS           34 52 13.85N 086 50 44.27W TOWER              1 00275 01078 D 4 D N 2025ASO03098OE C2025263 
OLD       01-002710 O US AL MOULTON          34 33 28.27N 087 06 46.54W TOWER              1 00278 01043 D 1 A N 2006ASO05073OE C2007035 
NEW       01-002710 O US AL TRINITY          34 33 28.26N 087 06 46.54W TOWER              1 00272 01037 D 1 A N 2025ASO10012OE C2025263 
OLD       01-002719 O US AL ENTERPRISE       31 20 26.53N 085 52 02.40W TOWER              1 00320 00710 D 2 D N 2000ASO00158OE C2004270 
NEW       01-002719 O US AL ENTERPRISE       31 20 26.53N 085 52 02.40W TOWER              1 00317 00680 D 2 C N 2025ASO01977OE C2025263 
OLD       01-002740 O US AL GERALDINE        34 21 51.78N 085 59 10.22W TOWER              1 00350 01497 M 2 C N 2024ASO13061OE C2024327 
NEW       01-002740 O US AL GERALDINE        34 21 51.78N 085 59 10.22W TOWER              1 00353 01500 M 2 C N 2025ASO03827OE C2025263 
OLD       01-002785 O US AL CLAYHATCHEE      31 13 59.76N 085 42 52.35W TOWER              1 00239 00424 D 1 A U 2000ASO04373OE C2007105 
NEW       01-002785 O US AL CLAYHATCHEE      31 13 59.76N 085 42 52.35W TOWER              1 00239 00424 D 1 A N 2025ASO08834OE C2025263 
OLD       01-002878 O US AL EUFAULA          32 02 30.00N 085 07 59.00W TOWER              1 00233 00657 D 2 C N 2001ASO01915OE C2003341 
NEW       01-002878 O US AL EUFAULA          32 02 30.47N 085 07 58.98W TOWER              1 00235 00658 D 2 C N 2024ASO22471OE C2025263 
OLD       01-002936 O US AL DOUBLE SPRINGS   34 02 41.03N 087 23 16.95W TOWER              1 00306 01037 D 1 A N 2004ASO02903OE C2004299 
NEW       01-002936 O US AL DOUBLE SPRINGS   34 02 41.03N 087 23 16.95W TOWER              1 00306 01037 D 1 A N 2025ASO05396OE C2025263 
OLD       01-002946 O US AL ARLEY            34 00 45.30N 087 12 54.77W TOWER              1 00336 01028 D 1 A N 2004ASO03284OE C2005037 
NEW       01-002946 O US AL ARLEY            34 00 45.30N 087 12 54.77W TOWER              1 00336 01028 D 1 A N 2025ASO07698OE C2025263 
OLD       01-002981 O US AL ELKMONT          34 54 58.73N 086 59 04.84W TOWER              1 00258 01043 M 1 B N 2019ASO25688OE C2019319 
NEW       01-002981 O US AL ELKMONT          34 54 58.73N 086 59 04.84W TOWER              1 00258 01043 M 1 B N 2025ASO03703OE C2025263 
OLD       01-002982 O US AL PETREY           31 54 08.94N 086 19 13.47W TOWER              1 00304 00884 D 1 A N 2004ASO05131OE C2005030 
NEW       01-002982 O US AL HIGHLAND HOMES   31 54 08.94N 086 19 13.47W TOWER              1 00300 00880 D 1 A N 2025ASO09426OE C2025263 
OLD       01-003016 U US AL TOXEY            31 56 07.50N 088 17 59.50W TOWER              1 00320 00550 D 4 D N 2005ASO00386OE C2014124 
NEW       01-003016 O US AL TOXEY            31 56 07.50N 088 17 59.50W TOWER              1 00305 00535 D 4 D N 2025ASO09226OE C2025263 
OLD       01-003027 O US AL NESTON           31 18 22.30N 085 35 38.22W TOWER              1 00348 00702 D 1 D N 2004ASO03227OE C2007123 
NEW       01-003027 O US AL NESTON           31 18 22.30N 085 35 38.22W TOWER              1 00348 00702 D 1 D N 2025ASO10436OE C2025263 
OLD       01-003036 O US AL FITZPATRICK      32 11 42.60N 085 52 29.67W TOWER              1 00261 00570 D 1 A N 2008ASO03886OE C2008213 
NEW       01-003036 O US AL FITZPATRICK      32 11 42.60N 085 52 29.67W TOWER              1 00261 00570 D 1 A N 2025ASO14578OE C2025290 
OLD       01-003043 O US AL TONEY            34 56 42.91N 086 46 40.07W TOWER              1 00309 01178 D 1 A N 2006ASO05047OE C2007035 
NEW       01-003043 O US AL TONEY            34 56 42.91N 086 46 40.07W TOWER              1 00309 01178 D 1 A N 2025ASO14302OE C2025290 
OLD       01-003058 O US AL ANDERSON         34 55 22.66N 087 15 24.99W TOWER              1 00259 01062 M 1 A N 2006ASO00048OE C2006162 
NEW       01-003058 O US AL ANDERSON         34 55 22.66N 087 15 24.99W TOWER              1 00259 01062 D 1 A N 2025ASO14566OE C2025290 
OLD       01-003102 O US AL OPELIKA          32 44 05.65N 085 24 14.30W TOWER              1 00260 01059 D 5 E N 2005ASO03771OE C2008099 
NEW       01-003102 O US AL OAK BOWERY       32 44 05.65N 085 24 14.30W TOWER              1 00261 01067 D 4 D N 2025ASO14562OE C2025290 
OLD       01-003106 U US AL FIVE POINTS      33 02 17.29N 085 20 54.63W TOWER              1 00260 01096 D 4 D N 2005ASO03817OE C2014124 
NEW       01-003106 O US AL FIVE POINTS      33 02 17.29N 085 20 54.63W TOWER              1 00261 01097 D 4 D N 2024ASO23635OE C2025263 
OLD       01-003109 O US AL WEGULFKA         33 02 19.54N 086 14 02.78W TOWER              1 00259 01182 D 4 D N 2019ASO10900OE C2019213 
NEW       01-003109 O US AL WEGULFKA         33 02 19.54N 086 14 02.78W TOWER              1 00259 01199 D 4 D N 2025ASO14596OE C2025290 
OLD       01-003114 U US AL LAFAYETTE        32 51 05.88N 085 26 26.33W TOWER              1 00260 01124 D 4 D N 2005ASO03819OE C2014124 
NEW       01-003114 O US AL LAFAYETTE        32 51 05.88N 085 26 26.33W TOWER              1 00260 01133 D 4 D N 2025ASO14563OE C2025290 
OLD       01-003132 O US AL BAILEYTON        34 21 02.04N 086 37 00.91W TOWER              1 00257 01321 D 2 C N 2011ASO02920OE C2017102 
NEW       01-003132 O US AL JOPPA            34 21 02.04N 086 37 00.91W TOWER              1 00256 01320 D 2 C N 2025ASO05101OE C2025263 
OLD       01-003179 U US AL OPP              31 16 05.36N 086 13 31.17W TOWER              1 00250 00557 D 4 D N 2005ASO00534OE C2014124 
NEW       01-003179 O US AL OPP              31 16 05.36N 086 13 31.17W TOWER              1 00254 00561 D 4 D N 2025ASO08836OE C2025263 
OLD       01-003183 U US AL WEDOWEE          33 26 55.04N 085 33 58.00W TOWER              1 00310 01458 D 4 D N 2006ASO03554OE C2014124 
NEW       01-003183 O US AL WEDOWEE          33 26 55.39N 085 33 57.99W TOWER              1 00310 01458 D 4 D N 2025ASO10300OE C2025263 
OLD       01-003187 O US AL HALEYVILLE       34 05 19.09N 087 37 30.60W TOWER              1 00310 01055 D 1 A N 2006ASO06057OE C2007161 
NEW       01-003187 O US AL HALEYVILLE       34 05 19.09N 087 37 30.60W TOWER              1 00303 01047 D 1 A N 2025ASO02725OE C2025263 
OLD       01-003196 U US AL ALICEVILLE       32 57 34.55N 088 13 59.54W TOWER              1 00260 00428 D 4 D N 2006ASO04420OE C2014124 
NEW       01-003196 O US AL ALICEVILLE       32 57 34.55N 088 13 59.54W TOWER              1 00260 00428 D 2 C N 2025ASO14595OE C2025290 
OLD       01-003197 U US AL EMELLE           32 47 29.96N 088 13 45.03W TOWER              1 00260 00444 D 4 D N 2006ASO04419OE C2014124 
NEW       01-003197 O US AL EMELLE           32 47 29.96N 088 13 45.03W TOWER              1 00259 00443 D 2 C N 2025ASO14554OE C2025290 
OLD       01-003201 O US AL ANDALUSIA        31 12 06.74N 086 33 18.79W TOWER              1 00260 00526 D 2 C N 2006ASO04701OE C2008059 
NEW       01-003201 O US AL ANDALUSIA        31 12 06.74N 086 33 18.79W TOWER              1 00258 00524 D 2 C N 2025ASO08833OE C2025290 
OLD       01-003236 O US AL UNION SPRINGS    32 05 47.51N 085 48 17.47W TOWER              1 00258 00637 D 1 A N 2006ASO05491OE C2007161 
NEW       01-003236 O US AL UNION SPRINGS    32 05 47.51N 085 48 17.47W TOWER              1 00259 00638 D 1 A N 2025ASO12005OE C2025290 
OLD       01-003276 U US AL KELLEYTON        32 58 10.60N 086 00 29.10W TOWER              1 00298 01045 D 4 D N 2007ASO02215OE C2014124 
NEW       01-003276 O US AL KELLEYTON        32 58 10.60N 086 00 29.10W TOWER              1 00298 01045 D 4 D N 2025ASO07602OE C2025264 
OLD       01-020021 U US AL DADEVILLE        32 42 36.79N 085 47 26.44W TOWER              1 00259 00967 D 4 D N 2008ASO00485OE C2014124 
NEW       01-020021 O US AL DADEVILLE        32 42 36.79N 085 47 26.44W TOWER              1 00259 00967 D 1 A N 2025ASO09457OE C2025263 
OLD       01-020034 U US AL SCOOTTSBORO      34 41 02.38N 086 01 42.14W TOWER              1 00188 01267 D 4 D N 2006ASO06477OE C2014124 
NEW       01-020034 O US AL SCOOTTSBORO      34 41 02.38N 086 01 42.14W TOWER              1 00194 01273 D 1 A N 2025ASO03457OE C2025263 
OLD       01-020046 O US AL TOWN CREEK       34 47 16.52N 087 22 40.56W TOWER              1 00260 00855 D 5 D N 2007ASO05384OE C2008168 
NEW       01-020046 O US AL TOWN CREEK       34 47 16.51N 087 22 40.55W TOWER              1 00257 00852 D 4 D N 2025ASO09861OE C2025263 
OLD       01-020048 O US AL ANDALUSIA        31 20 44.79N 086 27 45.16W TOWER              1 00413 00759 D 2 C N 2013ASO01202OE C2017117 
NEW       01-020048 O US AL ANDALUSIA        31 20 44.79N 086 27 45.16W TOWER              1 00413 00759 D 2 C N 2025ASO11575OE C2025263 
